start, stop
Tue Sep 15 00:07:25 2015,Tue Sep 15 00:07:28 2015
Tue Sep 15 00:07:55 2015,Tue Sep 15 00:07:58 2015
Tue Sep 15 00:08:25 2015,Tue Sep 15 00:08:28 2015
Tue Sep 15 00:08:55 2015,Tue Sep 15 00:08:58 2015
Tue Sep 15 00:09:25 2015,Tue Sep 15 00:09:28 2015
Tue Sep 15 00:09:55 2015,Tue Sep 15 00:09:58 2015
Tue Sep 15 00:10:25 2015,Tue Sep 15 00:10:28 2015
Tue Sep 15 00:10:55 2015,Tue Sep 15 00:10:59 2015
Tue Sep 15 00:11:25 2015,Tue Sep 15 00:11:28 2015
Tue Sep 15 00:11:55 2015,Tue Sep 15 00:11:58 2015
Tue Sep 15 00:12:25 2015,Tue Sep 15 00:12:28 2015
Tue Sep 15 00:12:55 2015,Tue Sep 15 00:12:58 2015
Tue Sep 15 00:13:25 2015,Tue Sep 15 00:13:28 2015
Tue Sep 15 02:26:14 2015,Tue Sep 15 02:26:20 2015
Tue Sep 15 02:26:44 2015,Tue Sep 15 02:26:49 2015
Tue Sep 15 02:27:14 2015,Tue Sep 15 02:27:17 2015
Tue Sep 15 02:27:44 2015,Tue Sep 15 02:27:50 2015
Tue Sep 15 02:28:14 2015,Tue Sep 15 02:28:17 2015
Tue Sep 15 02:28:44 2015,Tue Sep 15 02:28:47 2015
Tue Sep 15 02:29:14 2015,Tue Sep 15 02:29:17 2015
Tue Sep 15 02:29:44 2015,Tue Sep 15 02:29:47 2015
Tue Sep 15 02:30:14 2015,Tue Sep 15 02:30:17 2015
Tue Sep 15 02:30:44 2015,Tue Sep 15 02:30:47 2015
Tue Sep 15 02:31:14 2015,Tue Sep 15 02:31:17 2015
Tue Sep 15 09:40:25 2015,Tue Sep 15 09:40:44 2015
Tue Sep 15 09:40:55 2015,Tue Sep 15 09:41:04 2015
Tue Sep 15 09:41:25 2015,Tue Sep 15 09:41:32 2015
Tue Sep 15 09:41:55 2015,Tue Sep 15 09:42:04 2015
Tue Sep 15 09:42:25 2015,Tue Sep 15 09:42:33 2015
Tue Sep 15 09:42:55 2015,Tue Sep 15 09:43:03 2015
Tue Sep 15 09:43:25 2015,Tue Sep 15 09:43:33 2015
Tue Sep 15 09:43:55 2015,Tue Sep 15 09:44:05 2015
Tue Sep 15 09:44:25 2015,Tue Sep 15 09:44:39 2015
Tue Sep 15 09:44:55 2015,Tue Sep 15 09:45:02 2015
Tue Sep 15 09:45:25 2015,Tue Sep 15 09:45:33 2015
Tue Sep 15 09:45:55 2015,Tue Sep 15 09:46:02 2015
Tue Sep 15 09:46:25 2015,Tue Sep 15 09:46:33 2015
Tue Sep 15 09:46:55 2015,Tue Sep 15 09:47:02 2015
Tue Sep 15 09:47:25 2015,Tue Sep 15 09:47:33 2015
Tue Sep 15 09:47:55 2015,Tue Sep 15 09:48:02 2015
Tue Sep 15 09:48:25 2015,Tue Sep 15 09:48:33 2015
Tue Sep 15 09:48:55 2015,Tue Sep 15 09:49:02 2015
Tue Sep 15 09:49:25 2015,Tue Sep 15 09:49:36 2015
Tue Sep 15 09:49:55 2015,Tue Sep 15 09:50:02 2015
Tue Sep 15 09:50:25 2015,Tue Sep 15 09:50:33 2015
Tue Sep 15 09:50:55 2015,Tue Sep 15 09:51:07 2015
Tue Sep 15 09:51:25 2015,Tue Sep 15 09:51:32 2015
Tue Sep 15 09:51:55 2015,Tue Sep 15 09:52:09 2015
Tue Sep 15 09:52:25 2015,Tue Sep 15 09:52:32 2015
Tue Sep 15 09:52:55 2015,Tue Sep 15 09:53:03 2015
Tue Sep 15 09:53:25 2015,Tue Sep 15 09:53:36 2015
Tue Sep 15 09:53:55 2015,Tue Sep 15 09:54:03 2015
Tue Sep 15 09:54:25 2015,Tue Sep 15 09:54:32 2015
Tue Sep 15 09:54:55 2015,Tue Sep 15 09:55:02 2015
Tue Sep 15 09:55:25 2015,Tue Sep 15 09:55:35 2015
Tue Sep 15 09:55:55 2015,Tue Sep 15 09:56:02 2015
Tue Sep 15 09:56:25 2015,Tue Sep 15 09:56:32 2015
Tue Sep 15 09:56:55 2015,Tue Sep 15 09:57:02 2015
Tue Sep 15 09:57:25 2015,Tue Sep 15 09:57:35 2015
